variant,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
full,0,1.8663003532230598,-2.3548073712354154,-1.0719558595634078,-67.50342128991828,1.0,0.1592667414618111,0.8577908815256791,178
full,1,1.847113998464049,-2.34108130282151,-1.0149258986608427,-67.29761612122753,1.0,0.158366571833894,0.7472704583053837,203
full,2,2.110938301182987,-2.5191943679413282,-1.4812820353651275,-84.297752743061,1.0,0.19827225616797692,0.8397170415317189,184
full,3,1.8998626908461054,-2.379547675495188,-1.1420517014597242,-73.57011390515179,1.0,0.17887284425310648,0.9625128462953683,200
full,4,1.8288643339375141,-2.3261977507771454,-0.9637673601635952,-64.2999981518404,1.0,0.15144560055002942,0.8384861789069586,177
drop_DNp01,0,2.2157442909283205,-2.614152391323723,-1.5292503489529488,-84.01155846049325,1.0,0.1966364579816215,0.0,215
drop_DNp01,1,2.0692956776877582,-2.5172291362486474,-1.3272904300036144,-76.21297439569848,1.0,0.1789826753296304,0.0,196
drop_DNp01,2,2.175282397347594,-2.552766233308181,-1.5857409023354205,-84.3233683154118,1.0,0.19833436446223715,0.0,202
drop_DNp01,3,1.961833474025587,-2.4372931098061366,-1.1753459576392884,-72.45081236223267,1.0,0.16991779489336245,0.0,193
drop_DNp01,4,1.8623930101511985,-2.355743881728731,-1.0232542764808978,-65.79526112289474,1.0,0.15473504024010357,0.0,196
drop_DNa02,0,1.892636921810772,-2.381877444561152,-1.0670938473119989,-68.56214885562882,1.0,0.16149615349638966,0.8931267579786014,208
drop_DNa02,1,1.9581813373824108,-2.431437343818229,-1.1881218794956176,-72.77074153487739,0.9874124144966762,0.1714285714285714,0.7938381692468138,203
drop_DNa02,2,2.0223027720229214,-2.4633062823114757,-1.3505048659041907,-79.35876908540833,1.0,0.18687513509201267,0.84386376920342,184
drop_DNa02,3,1.9345794453402005,-2.4053254901909566,-1.2003255015531462,-75.90969688779883,1.0,0.17835478211502456,0.9271643001368992,212
drop_DNa02,4,1.8874458782069108,-2.3752968917573467,-1.0790321995450243,-68.70404216886591,0.9586753645443892,0.1619047619047619,0.8677484054473958,187
drop_DNa01_DNb01,0,1.8160587492865345,-2.306957596100531,-1.0460996756238217,-67.60001310022052,0.9014394423036383,0.15952380952380954,0.8324164142784207,202
drop_DNa01_DNb01,1,1.879462007094522,-2.362799463075047,-1.1147527354859235,-70.70242077329144,0.969600960398924,0.16666666666666669,0.8516750381731475,195
drop_DNa01_DNb01,2,1.9362696068839618,-2.399235397106338,-1.2423125818020762,-76.84187922624109,0.9889860417044443,0.18095238095238095,0.8835076974919457,192
drop_DNa01_DNb01,3,1.8716175725051383,-2.3460989656979376,-1.1722907125162438,-74.81880366149468,0.9370286802281987,0.1761904761904762,0.9625128462953683,201
drop_DNa01_DNb01,4,1.8628796398726597,-2.3457664416229456,-1.1167170808941231,-70.65970716613896,0.9705591169632456,0.16666666666666666,0.8691605432303636,204
drop_DNp03_DNp11,0,1.7493764325021008,-2.242158788279359,-1.0211980166617909,-71.86089786920711,1.0,0.17162387752612351,0.8833896475214922,274
drop_DNp03_DNp11,1,1.771301765137798,-2.2599734060194496,-1.0631203974674925,-72.1079710933289,1.0,0.16961328166990122,1.0,235
drop_DNp03_DNp11,2,1.8439042842959967,-2.3143858640862014,-1.1926240159154289,-78.05228637790317,1.0,0.18331615024973352,0.9610552290700753,224
drop_DNp03_DNp11,3,1.8337917541406734,-2.308737755187118,-1.166198272959783,-78.39140630310425,1.0,0.18366913425714204,0.9999932991024852,232
drop_DNp03_DNp11,4,1.8434831758690768,-2.3317130126523886,-1.0723543402948752,-69.75322644623002,1.0,0.16423086727673988,0.9167247844466531,217
drop_DNg02,0,1.8663003532230598,-2.3548073712354154,-1.0719558595634078,-67.50342128991828,1.0,0.1592667414618111,0.8577908815256791,178
drop_DNg02,1,1.847113998464049,-2.34108130282151,-1.0149258986608427,-67.29761612122753,1.0,0.158366571833894,0.7472704583053837,203
drop_DNg02,2,2.110938301182987,-2.5191943679413282,-1.4812820353651275,-84.297752743061,1.0,0.19827225616797692,0.8397170415317189,184
drop_DNg02,3,1.8998626908461054,-2.379547675495188,-1.1420517014597242,-73.57011390515179,1.0,0.17887284425310648,0.9625128462953683,200
drop_DNg02,4,1.8288643339375141,-2.3261977507771454,-0.9637673601635952,-64.2999981518404,1.0,0.15144560055002942,0.8384861789069586,177
drop_all_steering,0,0.8482903344560148,0.0,0.0,0.0,0.0,0.0,1.0,563
drop_all_steering,1,0.8458798813434799,0.0,0.0,0.0,0.0,0.0,1.0,532
drop_all_steering,2,0.8457794826363398,0.0,0.0,0.0,0.0,0.0,1.0,524
drop_all_steering,3,0.8474134608610865,0.0,0.0,0.0,0.0,0.0,1.0,570
drop_all_steering,4,0.8446536313050572,0.0,0.0,0.0,0.0,0.0,1.0,560
input_LC4_only,0,1.9809369863888941,-2.4646756042633835,-1.1193257845699258,-68.88933867938186,0.8256635987503849,0.16190476190476188,0.33417944307535064,65
input_LC4_only,1,1.9702158375172514,-2.458180228055584,-1.083466524068209,-67.90994476351955,0.8745498277262871,0.15952380952380954,0.3845146489505208,67
input_LC4_only,2,1.9898670681994497,-2.4693404355773008,-1.1511028185661036,-69.91736934568151,0.8249593505623808,0.16428571428571428,0.2577249358377458,73
input_LC4_only,3,2.0341767856521575,-2.5033352900408,-1.2189033971164462,-71.90964981877542,0.8745918950760798,0.16904761904761903,0.25,65
input_LC4_only,4,1.9937284009384955,-2.467395331005371,-1.1889932809450823,-70.80076964275005,0.7613667468214638,0.16666666666666669,0.3549915057626943,73
input_LPLC2_only,0,1.5882784150226226,-2.0803026487672374,-0.9982579603189017,-72.59482134037466,1.0,0.1712239159964532,1.0,205
input_LPLC2_only,1,1.560436025452115,-2.0503130618948275,-1.0183692688410446,-74.63988800061664,1.0,0.17962532558004415,1.0,206
input_LPLC2_only,2,1.5269817729090212,-2.0241840238495077,-0.7964667445423913,-61.33987039940039,1.0,0.14446604761531265,0.9350594763393053,182
input_LPLC2_only,3,1.5503417966354212,-2.0474317390617864,-0.9125774473970941,-67.71345971770664,1.0,0.15973712043207272,0.9609621078572063,216
input_LPLC2_only,4,1.6657545784737435,-2.149122198805058,-1.0916188428080087,-78.51059712148769,1.0,0.1841373993523767,0.9758131419799111,209
