cond,az,v,r,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
nobrain,-45,1.0,0.2,0,5.798785560154258e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,1.0,0.2,0,0.9775605046431932,1.6595429466188105,-0.4881501485857174,41.06107048200326,0.7691062117051601,0.048809523809523817,0.9042169192786644,186
real,-45,1.0,0.2,1,1.0297086724041733,1.7218936101548112,-0.5331826299502138,43.05794328153588,0.6940250961713883,0.05119047619047618,0.8034585195534657,185
real,-45,1.0,0.2,2,0.9971113374702382,1.6783355840928162,-0.48206796307332805,41.09384085316296,0.6501089297906752,0.048809523809523817,0.8678676425393612,195
nobrain,-45,1.0,0.3,0,5.798785560154258e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,1.0,0.3,0,1.21101645877396,1.9160710817073732,-0.6370000196099576,44.039151849294015,0.578989483310471,0.05238095238095239,0.8034426919310222,188
real,-45,1.0,0.3,1,1.2518737494754555,1.958837078120101,-0.6901227726864441,47.04684002961529,0.7015307566824026,0.05595238095238096,0.795300754166178,197
real,-45,1.0,0.3,2,1.2516489575466216,1.9587171451494307,-0.7033990830844832,48.052899147911525,0.8397157604950338,0.05714285714285714,0.8253803189880113,212
nobrain,-45,1.0,0.45,0,5.798785560154258e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,1.0,0.45,0,1.408807783696469,2.1144705264761168,-0.7708712567502422,47.04713490395959,0.46250221358323673,0.05595238095238096,0.8283153459440527,171
real,-45,1.0,0.45,1,1.3873992931600352,2.093626702116271,-0.756488093254897,47.05696496650217,0.5163441440101337,0.05595238095238096,0.8180569262854366,193
real,-45,1.0,0.45,2,1.3370447454845442,2.0441304498930024,-0.714525061635451,45.04478463164846,0.4741025693120775,0.05357142857142857,0.8553113354860044,171
nobrain,-45,2.0,0.2,0,7.93627810486531e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,2.0,0.2,0,0.9244450694231519,2.2561687297777877,-1.0329559923552787,74.30882777710319,1.0,0.15225811290590158,1.0,293
real,-45,2.0,0.2,1,0.9525897135972979,2.231951812337641,-0.9258122250882378,66.68771354134594,1.0,0.1369621298910315,1.0,252
real,-45,2.0,0.2,2,0.9561579657266255,2.321277181544428,-1.1123122953605873,77.6150430344121,1.0,0.1588012861155953,1.0,249
nobrain,-45,2.0,0.3,0,7.93627810486531e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,2.0,0.3,0,0.9591202401488734,2.150302935965448,-0.7993707318483473,55.132052900093505,1.0,0.11413843967720912,0.8410101112034701,190
real,-45,2.0,0.3,1,1.0374814470461746,2.3940150327366316,-1.0731254729754878,69.2734476731371,1.0,0.14263537044953795,0.9891145739561957,233
real,-45,2.0,0.3,2,0.9892618000421816,2.2329243950679913,-0.8589302279373371,59.48142658354964,1.0,0.12281036757789714,0.8726524891683567,217
nobrain,-45,2.0,0.45,0,7.93627810486531e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,2.0,0.45,0,1.2039957996337356,2.542976278450046,-0.9952861092480569,63.08121553559424,1.0,0.1297870932667827,0.8950294478034615,226
real,-45,2.0,0.45,1,1.1398946917608634,2.4588029314660718,-0.9579322501153732,63.23904762968481,1.0,0.13007167230768563,0.9365249562214042,259
real,-45,2.0,0.45,2,1.1662117356745105,2.485122136827625,-0.9524729587348527,61.52035541836261,1.0,0.12670973591177487,0.8748177740454619,242
nobrain,-45,3.0,0.2,0,1.7710446979406052e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,3.0,0.2,0,0.7746215539283835,2.22820306706531,-1.0334351797577344,76.70292743486203,1.0,0.2091255609921309,1.0,294
real,-45,3.0,0.2,1,0.7481246531098266,2.2604884236086473,-1.1174940221379104,81.31675982479061,1.0,0.22139644833107894,1.0,308
real,-45,3.0,0.2,2,0.7581606175915506,2.301681881009408,-1.1564651385177425,81.59030630075115,1.0,0.22246572807657075,1.0,280
nobrain,-45,3.0,0.3,0,1.7710446979406052e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,3.0,0.3,0,0.8716752432834164,2.4885506328347766,-1.2056414426711057,80.9763125229649,1.0,0.22016504650330154,1.0,319
real,-45,3.0,0.3,1,0.854627080038044,2.44236623985677,-1.1756126220342251,80.30306604996856,1.0,0.21840483020898196,1.0,273
real,-45,3.0,0.3,2,0.8665675950986774,2.4976093510161164,-1.2258455079978505,81.36175920420237,1.0,0.22143106823101022,1.0,300
nobrain,-45,3.0,0.45,0,1.7710446979406052e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-45,3.0,0.45,0,0.9103436851485084,2.5887580948563627,-1.2663146038442485,82.55631272432717,1.0,0.22409230992674836,1.0,355
real,-45,3.0,0.45,1,0.9052730467172183,2.655462550501282,-1.3538519108775662,85.40770437253687,1.0,0.23164848808506144,1.0,336
real,-45,3.0,0.45,2,0.8803071444723239,2.628535729243173,-1.360758913073241,86.59793589620833,1.0,0.23479291569851152,1.0,346
nobrain,-30,1.0,0.2,0,8.1272604421008e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,1.0,0.2,0,1.3524419523970024,1.822584001423062,-0.583655262999777,46.13736598824967,0.9017178082737115,0.054761904761904755,0.905049491144906,184
real,-30,1.0,0.2,1,1.3360933773552581,1.8007143287311849,-0.5617369359108327,44.09161835064661,0.7528450219129774,0.05238095238095239,0.8376401551045,190
real,-30,1.0,0.2,2,1.318958903489515,1.7822038487869134,-0.5589209137727202,44.081720630080895,0.7080675978394112,0.05238095238095239,0.837898150162543,189
nobrain,-30,1.0,0.3,0,8.1272604421008e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,1.0,0.3,0,1.5274359647499054,2.0199665990125877,-0.7157705259434527,47.05663647477228,0.5823506278213385,0.05595238095238095,0.840883201223516,172
real,-30,1.0,0.3,1,1.5537650114041752,2.0494367826872066,-0.751251085790428,49.074621381522284,0.6133737774027755,0.058333333333333334,0.8089173113010902,176
real,-30,1.0,0.3,2,1.5527127936130767,2.048688563962656,-0.7550151225003423,49.05486867138879,0.4738414009032643,0.05833333333333333,0.8129979767343842,181
nobrain,-30,1.0,0.45,0,8.1272604421008e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,1.0,0.45,0,1.7506539790277935,2.2500877143412805,-0.9105392034679152,52.07211091036337,0.6911884824600337,0.06190476190476191,0.8892159347049917,190
real,-30,1.0,0.45,1,1.7682350005639182,2.2671630940322594,-0.9275272927781335,52.0535879018859,0.701638921630762,0.0619047619047619,0.734824934069926,175
real,-30,1.0,0.45,2,1.7966840729684772,2.294571151569143,-0.953113204074479,53.06300528329243,0.5844453803585016,0.06309523809523811,0.821958273159385,171
nobrain,-30,2.0,0.2,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,2.0,0.2,0,1.4832080724094545,2.349338946982723,-1.093617211181795,72.57572109283934,1.0,0.14912936018686015,1.0,218
real,-30,2.0,0.2,1,1.4972212394882425,2.4101259604058907,-1.2266603607282696,80.12291965508204,1.0,0.16409786197606535,0.9970763311793669,266
real,-30,2.0,0.2,2,1.4584249050626803,2.343395667984239,-1.1463764133494336,76.40600718932129,1.0,0.15688495962884835,1.0,256
nobrain,-30,2.0,0.3,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,2.0,0.3,0,1.6096743171296488,2.5206818786528795,-1.2042852662852117,71.75593732606926,1.0,0.1477467739859941,0.9753255756099531,258
real,-30,2.0,0.3,1,1.630289999179628,2.5580179772705756,-1.2520645021662267,74.31256948000433,1.0,0.15682872171484974,0.9258607518476859,232
real,-30,2.0,0.3,2,1.6306777587848726,2.5821680273469614,-1.337316912186319,75.46709378886396,1.0,0.15550795495112552,0.8377861911768298,230
nobrain,-30,2.0,0.45,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,2.0,0.45,0,1.7466088011083771,2.6251114147341954,-1.0920086365835535,64.82807762997317,1.0,0.1334539064543383,1.0,256
real,-30,2.0,0.45,1,1.7904260048844,2.7104476228434904,-1.2029060221742311,69.56760811707643,1.0,0.14284295312469125,0.9974985926335029,242
real,-30,2.0,0.45,2,1.8379364483777965,2.800089512681804,-1.3609874208111317,77.62410292426479,1.0,0.15879660363884857,1.0,248
nobrain,-30,3.0,0.2,0,7.366306739906966e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,3.0,0.2,0,1.2574673564301582,2.4191688195005923,-1.4434318523968979,95.13514245750557,1.0,0.25811631717450256,1.0,324
real,-30,3.0,0.2,1,1.2166120160808824,2.3779379845068758,-1.4339830085396335,96.10045157099684,1.0,0.2606295710453355,1.0,350
real,-30,3.0,0.2,2,1.276464974118782,2.4288072002388614,-1.4199732800865488,92.99874138132915,1.0,0.2525591406687009,1.0,287
nobrain,-30,3.0,0.3,0,7.366306739906966e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,3.0,0.3,0,1.4457303529747176,2.640560234829933,-1.5402676937708473,94.12254806604717,1.0,0.25502238145342393,1.0,305
real,-30,3.0,0.3,1,1.4766244114107911,2.697755401056997,-1.6088568962833303,95.02279883084975,1.0,0.25738839096333377,1.0,291
real,-30,3.0,0.3,2,1.451880899176199,2.6401635535312487,-1.5211620755415172,92.86543766661613,1.0,0.2516364719016032,1.0,321
nobrain,-30,3.0,0.45,0,7.366306739906966e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-30,3.0,0.45,0,1.5478168695689365,2.827522802018151,-1.7523443548459654,99.77533436044834,1.0,0.269561271238564,1.0,398
real,-30,3.0,0.45,1,1.550210002565028,2.7997113132357434,-1.6743948427125288,96.79808046332352,1.0,0.2617077879924935,1.0,343
real,-30,3.0,0.45,2,1.5581444756780458,2.8380850428224167,-1.7501678345812606,99.29757680503388,1.0,0.2683031238306598,1.0,354
nobrain,-15,1.0,0.2,0,1.1198854884583199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,1.0,0.2,0,1.8708050032381982,2.1542863850276426,-0.785772041731301,57.90478464352189,1.0,0.06820201904698937,0.9150908542038223,249
real,-15,1.0,0.2,1,1.7860098397080493,2.086052827832415,-0.7470166534861324,56.473347538279604,1.0,0.06659371479282969,0.9420485002668256,231
real,-15,1.0,0.2,2,1.9544864627275653,2.225914642188679,-0.8455702869955632,59.01622502420184,1.0,0.06961195081442342,0.9764550578643523,240
nobrain,-15,1.0,0.3,0,1.1198854884583199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,1.0,0.3,0,1.858752278514457,2.107597619134066,-0.7379061224409631,50.18817334952513,0.9094613712125006,0.05952380952380952,0.9620068700254018,206
real,-15,1.0,0.3,1,2.0741951484325094,2.3322416058434214,-0.8658412812401112,59.18432724879003,1.0,0.06964908936206596,0.9647586963407647,263
real,-15,1.0,0.3,2,1.9472870565260438,2.198968630695813,-0.7559939563234628,53.6394967590103,1.0,0.06328895566838712,0.9477671105126356,225
nobrain,-15,1.0,0.45,0,1.1198854884583199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,1.0,0.45,0,2.1077193516985218,2.3655391135200214,-0.901047104746616,54.918701004244035,1.0,0.06498440708683026,0.886881263467696,224
real,-15,1.0,0.45,1,2.2052137955563254,2.4628696613904855,-1.0375260792948147,58.477369245000475,1.0,0.06926729241267619,0.9332600716935011,224
real,-15,1.0,0.45,2,2.107622049874452,2.3664126475447747,-0.9761009569590449,55.15943733001635,0.847355389987628,0.06865685369410271,0.9138849359410108,209
nobrain,-15,2.0,0.2,0,4.035896666595586e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,2.0,0.2,0,1.9097624700480738,2.513264756058879,-1.6171980346142318,99.85228650317934,1.0,0.20275674164581076,1.0,348
real,-15,2.0,0.2,1,1.9350977327494616,2.5293276266593816,-1.6904449002721322,103.14264409915349,1.0,0.2093738536455289,1.0,340
real,-15,2.0,0.2,2,1.9466959717481862,2.529891699587548,-1.6780398783261274,101.93732005671566,1.0,0.2071392760933201,1.0,346
nobrain,-15,2.0,0.3,0,4.035896666595586e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,2.0,0.3,0,2.3484470222499167,2.866072907725543,-1.9339115868415777,99.20491450323429,1.0,0.20208343598447753,0.9882335143989859,258
real,-15,2.0,0.3,1,2.1706767306481054,2.698539244960349,-1.772113467938487,99.42073555518098,1.0,0.2021934959396317,1.0,319
real,-15,2.0,0.3,2,2.1560560336793344,2.683480391942859,-1.8058977635495665,101.51361808695627,1.0,0.20628191131453766,1.0,338
nobrain,-15,2.0,0.45,0,4.035896666595586e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,2.0,0.45,0,2.4398598917541907,2.9549669723787244,-1.820751578504948,95.3226276789443,1.0,0.1937900554301075,1.0,290
real,-15,2.0,0.45,1,2.461307076600426,2.9779455747179453,-2.0019076589650386,101.21212781256428,1.0,0.20544473010352607,1.0,321
real,-15,2.0,0.45,2,2.421553898456733,2.937954150158907,-2.0092049132249774,103.2527465724353,1.0,0.2134267901419511,1.0,347
nobrain,-15,3.0,0.2,0,2.7440206452613393e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,3.0,0.2,0,1.5558650045404556,2.3867019714634585,-1.6085571123881868,105.08228798938131,1.0,0.28421410053079604,1.0,407
real,-15,3.0,0.2,1,1.4977217669615956,2.3434708057142664,-1.6445590706482027,108.91577502641016,1.0,0.29415413705577537,1.0,403
real,-15,3.0,0.2,2,1.485276826028761,2.332684080995977,-1.592628726926061,106.23949421391573,1.0,0.2873792372562976,1.0,421
nobrain,-15,3.0,0.3,0,2.7440206452613393e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,3.0,0.3,0,1.6997406387751397,2.491250465717035,-1.7655075526532573,108.74739945743632,1.0,0.2958761484393782,1.0,416
real,-15,3.0,0.3,1,1.7458342857699414,2.5265960023123335,-1.7567860206523886,107.4101091594801,1.0,0.2902594663677109,1.0,363
real,-15,3.0,0.3,2,1.889198191049703,2.6564320528861387,-1.9570282055589066,112.71819450181951,1.0,0.30410915543775163,1.0,359
nobrain,-15,3.0,0.45,0,2.7440206452613393e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,-15,3.0,0.45,0,1.999321786275269,2.747662954665865,-2.0060782873863467,111.93178026040721,1.0,0.3018633661347897,1.0,414
real,-15,3.0,0.45,1,1.9458110402499562,2.6984291126966156,-2.0256057184100387,113.75233178951268,1.0,0.3067147403421486,1.0,407
real,-15,3.0,0.45,2,1.9664524312905165,2.7177630806641977,-2.010029401309182,112.91702935816495,1.0,0.30445243016180434,1.0,402
nobrain,15,1.0,0.2,0,1.1198854884583199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,1.0,0.2,0,1.8492130892756586,-2.1124843630092367,-0.7065433975119757,-53.401691505744495,1.0,0.06300859422540597,0.8736414695498789,188
real,15,1.0,0.2,1,1.734935637389404,-1.989531699352811,-0.5897061047806277,-48.22323169722431,1.0,0.05693539793312298,0.9490187551568314,197
real,15,1.0,0.2,2,1.6805689104825567,-1.9306712469522163,-0.5629890714172725,-46.84065653825173,1.0,0.05533298228524052,0.874398923633613,194
nobrain,15,1.0,0.3,0,1.1198854884583199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,1.0,0.3,0,2.026664216687928,-2.28042071881175,-0.8228637938706079,-54.785145680437125,1.0,0.06475415168505869,0.9301792138088277,182
real,15,1.0,0.3,1,1.9612835641377184,-2.2149006156000763,-0.8231739754997529,-52.220680242622755,0.9336103924662799,0.0619047619047619,0.902219669718835,191
real,15,1.0,0.3,2,1.9495517313759194,-2.1983573816754713,-0.7671983808091165,-50.91743223051742,1.0,0.0603419813000962,0.848141902010179,172
nobrain,15,1.0,0.45,0,1.1198854884583199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,1.0,0.45,0,2.250980453962902,-2.502593776775065,-1.1458779442209586,-60.5463260252383,1.0,0.07179088336136291,0.8733716732752541,170
real,15,1.0,0.45,1,2.232927920970085,-2.4881665843474785,-1.092322750435922,-57.152869673915404,0.9170959258598629,0.06785714285714285,0.7818158991118744,160
