stim,rate,trial,max_active,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,LPLC2_left,LPLC2_right,LC4_left,LC4_right,LC6_left,LC6_right,LPLC1_left,LPLC1_right,dn_active
T4T5_abcd_L,50.0,0,4407,0.0,0.0,33.0,6.0,2.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.6160990712074303,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
T4T5_abcd_L,50.0,1,4294,0.0,0.0,26.0,4.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089922480620155,0.6253869969040248,4.398148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
T4T5_abcd_L,50.0,2,4316,0.0,0.0,27.0,4.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054263565891473,0.5727554179566563,4.537037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
T4T5_abcd_L,50.0,3,4270,0.0,0.0,28.0,4.0,2.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012403100775194,0.5278637770897833,4.453703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
T4T5_abcd_L,100.0,0,6176,34.0,36.0,39.0,12.0,0.0,6.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2.696124031007752,1.631578947368421,20.00925925925926,0.0,0.16666666666666666,0.0,0.0,0.0,0.029411764705882353,0.0,45
T4T5_abcd_L,100.0,1,6212,27.0,33.0,34.0,8.0,0.0,7.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2.641860465116279,1.58359133126935,20.75,0.0,0.3148148148148148,0.0,0.0,0.0,0.029411764705882353,0.0,42
T4T5_abcd_L,100.0,2,6202,33.0,39.0,42.0,13.0,0.0,9.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7333333333333334,1.6996904024767803,20.97222222222222,0.0,0.25925925925925924,0.0,0.0,0.0,0.029411764705882353,0.0,54
T4T5_abcd_L,100.0,3,6195,29.0,33.0,39.0,10.0,0.0,9.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7410852713178295,1.609907120743034,20.72222222222222,0.0,0.25925925925925924,0.0,0.0,0.0,0.029411764705882353,0.0,36
T4T5_a_L,50.0,0,1332,0.0,0.0,81.0,24.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5364341085271318,0.7925696594427245,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
T4T5_a_L,50.0,1,1350,0.0,0.0,90.0,20.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6263565891472869,0.673374613003096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
T4T5_a_L,50.0,2,1344,0.0,0.0,79.0,31.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5410852713178294,0.8204334365325078,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
T4T5_a_L,50.0,3,1334,0.0,0.0,85.0,23.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.7043343653250774,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
T4T5_a_L,100.0,0,2020,0.0,0.0,110.0,11.0,16.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.646511627906977,1.1594427244582044,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
T4T5_a_L,100.0,1,2326,0.0,0.0,116.0,11.0,22.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.806201550387597,1.3018575851393188,0.12037037037037036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
T4T5_a_L,100.0,2,2001,0.0,0.0,109.0,15.0,18.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5860465116279068,1.1455108359133126,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
T4T5_a_L,100.0,3,2032,0.0,1.0,103.0,20.0,16.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6108527131782946,1.2321981424148607,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
T4T5_b_L,50.0,0,1207,0.0,0.0,7.0,9.0,12.0,19.0,26.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5658914728682171,1.2136222910216719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
T4T5_b_L,50.0,1,1189,0.0,0.0,7.0,11.0,4.0,18.0,25.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5565891472868217,1.2058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
T4T5_b_L,50.0,2,1202,0.0,0.0,6.0,7.0,6.0,18.0,22.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4945736434108527,1.2027863777089782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
T4T5_b_L,50.0,3,1196,0.0,0.0,6.0,10.0,7.0,20.0,18.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992248062015504,1.215170278637771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
T4T5_b_L,100.0,0,1683,0.0,0.0,28.0,1.0,24.0,25.0,39.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3224806201550388,1.414860681114551,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
