stim,trial,max_active,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,LPLC2_left,LPLC2_right,LC4_left,LC4_right,MN_all_left,MN_all_right,MNsteer_left,MNsteer_right,MNpower_left,MNpower_right,TTMn_left,TTMn_right,DNp06_left,DNp06_right,DNp09_left,DNp09_right,b1_left,b1_right,b2_left,b2_right,b3_left,b3_right,i1_left,i1_right,i2_left,i2_right,iii1_left,iii1_right,iii3_left,iii3_right,hg1_left,hg1_right,hg2_left,hg2_right,hg3_left,hg3_right,hg4_left,hg4_right,tp1_left,tp1_right,tp2_left,tp2_right,tpn_left,tpn_right,ps1_left,ps1_right,ps2_left,ps2_right
LPLC2_L,0,4692,255.0,23.0,15.0,0.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0,0.0,4.866666666666666,4.785714285714286,8.9375,6.28858024691358,186.04255319148936,0.0,1.0140845070422535,0.0,14.270422535211267,14.059490084985836,13.8125,9.1875,110.83333333333333,107.75,18.0,12.0,63.0,27.0,0.0,0.0,2.0,0.0,43.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,6.0,42.0,27.0,0.0,2.0,2.0,3.0,42.0,12.0,4.0,1.0,17.0,30.0,19.0,0.0,23.0,24.0,4.0,16.0
LPLC2_L,1,11455,239.0,9.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.2857142857142857,10.05640243902439,9.339506172839506,184.95744680851064,0.0,0.5492957746478874,0.0,13.067605633802817,12.648725212464589,22.3125,16.125,73.08333333333333,73.08333333333333,11.0,12.0,83.0,8.0,0.0,0.0,1.0,0.0,10.0,3.0,45.0,24.0,105.0,91.0,92.0,84.0,12.0,0.0,24.0,4.0,24.0,20.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,6.0,19.0,0.0,2.0,2.0,17.0,21.0
LPLC2_L,2,11430,235.0,8.0,22.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.35714285714285715,10.111280487804878,9.358024691358025,186.2340425531915,0.0,0.6338028169014085,0.0,12.509859154929577,12.172804532577903,21.75,17.375,76.66666666666667,76.5,9.0,6.0,105.0,6.0,0.0,0.0,2.0,1.0,6.0,3.0,41.0,21.0,102.0,91.0,94.0,89.0,12.0,0.0,24.0,5.0,20.0,28.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,10.0,21.0,0.0,1.0,1.0,20.0,23.0
LPLC2_L,3,11296,234.0,7.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.8,0.07142857142857142,10.121951219512194,9.279320987654321,188.64893617021278,0.0,0.6901408450704225,0.0,13.529577464788732,12.708215297450424,23.3125,17.25,78.0,78.0,12.0,7.0,114.0,12.0,0.0,0.0,2.0,0.0,8.0,4.0,45.0,22.0,106.0,90.0,96.0,88.0,14.0,0.0,25.0,5.0,32.0,30.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,6.0,20.0,0.0,1.0,2.0,15.0,23.0
LC4_L,0,11247,222.0,4.0,8.0,0.0,0.0,3.0,0.0,77.0,201.0,0.0,216.0,0.0,0.8,0.0,8.902439024390244,9.253086419753087,0.0,0.0,123.98591549295774,0.0,12.88450704225352,13.025495750708215,17.75,19.375,105.5,106.5,10.0,1.0,22.0,8.0,0.0,0.0,4.0,0.0,18.0,8.0,6.0,22.0,51.0,105.0,68.0,63.0,10.0,4.0,24.0,4.0,51.0,48.0,0.0,0.0,8.0,10.0,13.0,7.0,0.0,0.0,0.0,1.0,3.0,3.0,23.0,28.0,5.0,7.0
LC4_L,1,3990,254.0,3.0,13.0,0.0,0.0,11.0,0.0,63.0,198.0,0.0,223.0,0.0,2.2,1.7857142857142858,7.660060975609756,6.529320987654321,0.0,0.0,129.07042253521126,0.0,14.236619718309859,13.430594900849858,14.875,12.375,128.08333333333334,125.0,47.0,4.0,111.0,37.0,0.0,0.0,13.0,1.0,87.0,43.0,0.0,2.0,0.0,36.0,0.0,0.0,51.0,37.0,5.0,1.0,22.0,23.0,0.0,2.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,49.0,0.0,0.0
LC4_L,2,4123,252.0,4.0,8.0,0.0,0.0,9.0,0.0,68.0,199.0,0.0,223.0,0.0,2.8,2.5,8.304878048780488,7.62037037037037,0.0,0.0,126.64788732394366,0.0,14.11549295774648,12.739376770538243,13.5625,13.4375,123.33333333333333,121.25,45.0,7.0,118.0,38.0,0.0,0.0,18.0,1.0,89.0,43.0,0.0,1.0,0.0,40.0,0.0,0.0,61.0,48.0,4.0,0.0,13.0,20.0,0.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,56.0,0.0,1.0
LC4_L,3,3724,248.0,11.0,12.0,0.0,0.0,5.0,1.0,77.0,198.0,0.0,226.0,0.0,0.6,0.2857142857142857,6.6875,5.4907407407407405,0.0,0.0,126.56338028169014,0.0,14.188732394366196,14.345609065155807,12.25,12.1875,125.83333333333333,122.91666666666667,51.0,12.0,96.0,35.0,0.0,0.0,6.0,0.0,94.0,52.0,0.0,2.0,0.0,47.0,0.0,0.0,42.0,20.0,6.0,0.0,17.0,25.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,45.0,0.0,0.0
LPLC2_R,0,10955,10.0,161.0,13.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,7.557926829268292,9.929012345679013,0.0,109.27472527472527,0.0,0.0,10.977464788732394,11.158640226628895,19.3125,14.9375,67.83333333333333,68.66666666666667,3.0,28.0,7.0,42.0,0.0,0.0,1.0,1.0,5.0,6.0,62.0,18.0,105.0,77.0,91.0,83.0,0.0,0.0,22.0,10.0,14.0,8.0,0.0,3.0,1.0,1.0,5.0,2.0,0.0,0.0,2.0,2.0,0.0,10.0,1.0,3.0,0.0,15.0
LPLC2_R,1,11049,8.0,156.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.7333333333333333,0.2857142857142857,7.628048780487805,9.91820987654321,0.0,107.86813186813187,0.0,0.0,11.290140845070422,11.390934844192634,20.1875,15.5,68.16666666666667,68.83333333333333,1.0,30.0,4.0,55.0,0.0,0.0,0.0,1.0,2.0,3.0,64.0,17.0,109.0,79.0,86.0,81.0,1.0,3.0,24.0,12.0,20.0,7.0,0.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,19.0,5.0,6.0,2.0,15.0
