stim,trial,group,neuron,rate
LPLC2_L,0,DN_all_left,6,255.0
LPLC2_L,0,DN_all_left,78,103.0
LPLC2_L,0,DN_all_left,104,75.0
LPLC2_L,0,DN_all_left,129,5.0
LPLC2_L,0,DN_all_left,144,28.0
LPLC2_L,0,DN_all_left,146,2.0
LPLC2_L,0,DN_all_left,147,1.0
LPLC2_L,0,DN_all_left,204,204.0
LPLC2_L,0,DN_all_left,207,63.0
LPLC2_L,0,DN_all_left,213,1.0
LPLC2_L,0,DN_all_left,223,55.0
LPLC2_L,0,DN_all_left,226,3.0
LPLC2_L,0,DN_all_left,228,61.0
LPLC2_L,0,DN_all_left,252,4.0
LPLC2_L,0,DN_all_left,264,56.0
LPLC2_L,0,DN_all_left,273,86.0
LPLC2_L,0,DN_all_left,316,34.0
LPLC2_L,0,DN_all_left,333,175.0
LPLC2_L,0,DN_all_left,349,52.0
LPLC2_L,0,DN_all_left,363,81.0
LPLC2_L,0,DN_all_left,384,239.0
LPLC2_L,0,DN_all_left,391,1.0
LPLC2_L,0,DN_all_left,410,31.0
LPLC2_L,0,DN_all_left,413,153.0
LPLC2_L,0,DN_all_left,433,1.0
LPLC2_L,0,DN_all_left,482,2.0
LPLC2_L,0,DN_all_left,489,10.0
LPLC2_L,0,DN_all_left,514,1.0
LPLC2_L,0,DN_all_left,523,17.0
LPLC2_L,0,DN_all_left,541,46.0
LPLC2_L,0,DN_all_left,543,14.0
LPLC2_L,0,DN_all_left,603,1.0
LPLC2_L,0,DN_all_left,608,6.0
LPLC2_L,0,DN_all_left,614,4.0
LPLC2_L,0,DN_all_left,628,9.0
LPLC2_L,0,DN_all_left,632,7.0
LPLC2_L,0,DN_all_left,681,1.0
LPLC2_L,0,DN_all_left,687,7.0
LPLC2_L,0,DN_all_left,741,33.0
LPLC2_L,0,DN_all_left,773,50.0
LPLC2_L,0,DN_all_left,783,56.0
LPLC2_L,0,DN_all_left,791,3.0
LPLC2_L,0,DN_all_left,861,99.0
LPLC2_L,0,DN_all_left,879,15.0
LPLC2_L,0,DN_all_left,906,14.0
LPLC2_L,0,DN_all_left,931,10.0
LPLC2_L,0,DN_all_left,953,1.0
LPLC2_L,0,DN_all_left,979,2.0
LPLC2_L,0,DN_all_left,992,24.0
LPLC2_L,0,DN_all_left,993,14.0
LPLC2_L,0,DN_all_left,994,45.0
LPLC2_L,0,DN_all_left,1047,110.0
LPLC2_L,0,DN_all_left,1071,3.0
LPLC2_L,0,DN_all_left,1111,68.0
LPLC2_L,0,DN_all_left,1132,3.0
LPLC2_L,0,DN_all_left,1155,9.0
LPLC2_L,0,DN_all_left,1167,64.0
LPLC2_L,0,DN_all_left,1170,7.0
LPLC2_L,0,DN_all_left,1196,1.0
LPLC2_L,0,DN_all_left,1273,19.0
LPLC2_L,0,DN_all_left,1324,61.0
LPLC2_L,0,DN_all_left,1325,2.0
LPLC2_L,0,DN_all_left,1328,1.0
LPLC2_L,0,DN_all_left,1342,7.0
LPLC2_L,0,DN_all_left,1361,1.0
LPLC2_L,0,DN_all_left,1387,49.0
LPLC2_L,0,DN_all_left,1392,3.0
LPLC2_L,0,DN_all_left,1506,89.0
LPLC2_L,0,DN_all_left,1545,6.0
LPLC2_L,0,DN_all_left,1562,46.0
LPLC2_L,0,DN_all_left,1564,9.0
LPLC2_L,0,DN_all_left,1591,6.0
LPLC2_L,0,DN_all_left,1626,30.0
LPLC2_L,0,DN_all_left,1724,75.0
LPLC2_L,0,DN_all_left,1752,5.0
LPLC2_L,0,DN_all_left,1821,56.0
LPLC2_L,0,DN_all_left,1833,41.0
LPLC2_L,0,DN_all_left,1870,18.0
LPLC2_L,0,DN_all_left,1994,28.0
LPLC2_L,0,DN_all_left,1997,2.0
LPLC2_L,0,DN_all_left,2074,23.0
LPLC2_L,0,DN_all_left,2078,2.0
LPLC2_L,0,DN_all_left,2103,3.0
LPLC2_L,0,DN_all_left,2286,23.0
LPLC2_L,0,DN_all_left,2311,1.0
LPLC2_L,0,DN_all_left,2329,7.0
LPLC2_L,0,DN_all_left,2354,42.0
LPLC2_L,0,DN_all_left,2423,18.0
LPLC2_L,0,DN_all_left,2441,14.0
LPLC2_L,0,DN_all_left,2449,3.0
LPLC2_L,0,DN_all_left,2451,16.0
LPLC2_L,0,DN_all_left,2465,24.0
LPLC2_L,0,DN_all_left,2475,1.0
LPLC2_L,0,DN_all_left,2583,63.0
LPLC2_L,0,DN_all_left,2588,11.0
LPLC2_L,0,DN_all_left,2620,34.0
LPLC2_L,0,DN_all_left,2676,86.0
LPLC2_L,0,DN_all_left,2688,1.0
LPLC2_L,0,DN_all_left,2700,1.0
LPLC2_L,0,DN_all_left,2792,9.0
LPLC2_L,0,DN_all_left,2837,14.0
LPLC2_L,0,DN_all_left,2868,7.0
LPLC2_L,0,DN_all_left,3003,1.0
LPLC2_L,0,DN_all_left,3009,5.0
LPLC2_L,0,DN_all_left,3084,24.0
LPLC2_L,0,DN_all_left,3106,191.0
LPLC2_L,0,DN_all_left,3159,5.0
LPLC2_L,0,DN_all_left,3184,20.0
LPLC2_L,0,DN_all_left,3222,45.0
LPLC2_L,0,DN_all_left,3331,67.0
LPLC2_L,0,DN_all_left,3349,41.0
LPLC2_L,0,DN_all_left,3380,1.0
LPLC2_L,0,DN_all_left,3390,8.0
LPLC2_L,0,DN_all_left,3394,4.0
LPLC2_L,0,DN_all_left,3451,16.0
LPLC2_L,0,DN_all_left,3505,112.0
LPLC2_L,0,DN_all_left,3569,3.0
LPLC2_L,0,DN_all_left,3595,4.0
LPLC2_L,0,DN_all_left,3722,39.0
LPLC2_L,0,DN_all_left,3768,14.0
LPLC2_L,0,DN_all_left,3788,28.0
LPLC2_L,0,DN_all_left,3939,47.0
LPLC2_L,0,DN_all_left,3966,25.0
LPLC2_L,0,DN_all_left,4017,6.0
LPLC2_L,0,DN_all_left,4057,10.0
LPLC2_L,0,DN_all_left,4215,1.0
LPLC2_L,0,DN_all_left,4335,90.0
LPLC2_L,0,DN_all_left,4591,1.0
LPLC2_L,0,DN_all_left,4609,28.0
LPLC2_L,0,DN_all_left,4685,6.0
LPLC2_L,0,DN_all_left,4917,47.0
LPLC2_L,0,DN_all_left,5056,19.0
LPLC2_L,0,DN_all_left,5067,56.0
LPLC2_L,0,DN_all_left,5129,1.0
LPLC2_L,0,DN_all_left,5262,23.0
LPLC2_L,0,DN_all_left,5300,1.0
LPLC2_L,0,DN_all_left,5338,2.0
LPLC2_L,0,DN_all_left,5579,2.0
LPLC2_L,0,DN_all_left,5616,1.0
LPLC2_L,0,DN_all_left,5678,14.0
LPLC2_L,0,DN_all_left,5867,55.0
LPLC2_L,0,DN_all_left,5993,4.0
LPLC2_L,0,DN_all_left,6490,48.0
LPLC2_L,0,DN_all_left,6736,16.0
LPLC2_L,0,DN_all_left,8234,1.0
LPLC2_L,0,DN_all_left,8764,13.0
LPLC2_L,0,DN_all_left,8870,9.0
LPLC2_L,0,DN_all_left,8977,10.0
LPLC2_L,0,DN_all_left,9207,2.0
LPLC2_L,0,DN_all_left,9402,9.0
LPLC2_L,0,DN_all_left,10086,17.0
LPLC2_L,0,DN_all_left,10532,3.0
LPLC2_L,0,DN_all_left,11249,14.0
LPLC2_L,0,DN_all_left,12085,4.0
LPLC2_L,0,DN_all_left,12839,3.0
